Pos.1,Pos.2,Precision.1,Precision.2,Dis.1,Dis.2,Sal.1,Sal.2,Tar.1,Tar.2
55%,45%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
40%,60%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
33%,67%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
50%,50%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
73%,27%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
73%,27%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
46%,54%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
70%,30%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
48%,52%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
52%,48%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
45%,55%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
24%,76%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
65%,35%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
58%,42%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
36%,64%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
43%,57%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
35%,65%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
56%,44%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
64%,36%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
40%,60%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
68%,32%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
59%,41%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
64%,36%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
63%,37%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
37%,63%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
62%,38%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
46%,54%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
62%,38%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
55%,45%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
37%,63%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
54%,46%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
36%,64%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
33%,67%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
72%,28%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
60%,40%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
51%,49%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
54%,46%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
32%,68%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
51%,49%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
61%,39%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
47%,53%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
37%,63%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
41%,59%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
54%,46%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
39%,61%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
50%,50%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
71%,29%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
64%,36%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
51%,49%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
41%,59%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
38%,62%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
75%,25%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
63%,37%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
49%,51%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
49%,51%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
38%,62%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
43%,57%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
48%,52%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
57%,43%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
61%,39%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
44%,56%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
51%,49%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
45%,55%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
51%,49%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
40%,60%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
59%,41%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
40%,60%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
59%,41%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
52%,48%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
68%,32%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
44%,56%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
64%,36%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
58%,42%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
74%,26%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
64%,36%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
71%,29%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
49%,51%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
46%,54%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
44%,56%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
60%,40%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
71%,29%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
66%,34%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
59%,41%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
41%,59%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
69%,31%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
48%,52%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
